chapter,question,image,rightOption,option,option,option
Cap.10 Software Modeling,per cosa sta UML?,,Unified Modeling Language,Unity Model Label,Unified Motherboard Language,Use Modeling Language
Cap.10 Software Modeling,di che categoria fa parte lo Use case Diagram?,,Behavior/Dynamic Diagram,Structure/Static Diagram,Package Diagram,Profile Diagram
Cap.10 Software Modeling,di che categoria fa parte il Class Diagram?,,Structure/Static Diagram,Behavior/Dynamic Diagram,Package Diagram,Profile Diagram
Cap.10 Software Modeling,di che categoria fa parte lo State Machine Diagram?,,Behavior/Dynamic Diagram,Structure/Static Diagram,Package Diagram,Profile Diagram
Cap.10 Software Modeling,di che categoria fa parte lo Sequence Diagram?,,Behavior/Dynamic Diagram,Structure/Static Diagram,Package Diagram,Profile Diagram
Cap.10 Software Modeling,di che categoria fa parte lo Activity Diagram?,,Behavior/Dynamic Diagram,Structure/Static Diagram,Package Diagram,Profile Diagram
Cap.10 Software Modeling,cosa sono i casi d’uso?,,descrivono le funzionalità che deve svolgere il sistema,è l’intero sistema,sono coloro che intereagiscono con il sistema,non fanno parte dello Use case
Cap.10 Software Modeling,chi sono gli attori?,,sono coloro che intereagiscono con il sistema,è l’intero sistema,descrivono le funzionalità che deve svolgere il sistema,non fanno parte dello Use case
Cap.10 Software Modeling,,,,,,
Cap.10 Software Modeling,,,,,,
Cap.10 Software Modeling,,,,,,
Cap.10 Software Modeling,,,,,,
Cap.10 Software Modeling,,,,,,
Cap.10 Software Modeling,,,,,,
Cap.10 Software Modeling,,,,,,
Cap.10 Software Modeling,,,,,,
Cap.10 Software Modeling,,,,,,
Cap.10 Software Modeling,,,,,,
Cap.10 Software Modeling,,,,,,
Cap.10 Software Modeling,,,,,,
